1744198565.679805873	0	0	0	0	0	0
1744198569.614845888	408	882	474	3012	6999	3987
1744198573.095040858	883	916	33	7035	7537	502
1744198576.931468397	917	1064	147	7545	8168	623
1744198580.551020967	1064	1104	40	8168	8238	70
1744198584.499376296	1106	1218	112	8244	8707	463
1744198588.322403556	1218	1244	26	8714	9275	561
1744198592.278342756	1243	1246	3	9298	9597	299
1744198595.966564216	1246	1348	102	9597	9836	239
1744198600.102387097	1348	1436	88	9844	10204	360
1744198604.229386607	1436	1511	75	10204	10627	423
1744198607.757454557	1511	1509	-2	10628	10640	12
1744198612.110074066	1510	1525	15	10640	10682	42
1744198616.467077697	1526	1609	83	10683	10983	300
1744198620.586419752	1610	1679	69	10989	11574	585
1744198766.486678253	0	0	0	0	0	0
1744198770.539208468	408	899	491	3025	7124	4099
1744198774.288192351	899	997	98	7124	7959	835
1744198777.918880552	1001	1114	113	7993	8451	458
1744198785.421897571	1114	1185	71	8459	8842	383
1744198789.702500290	1186	1218	32	8846	9029	183
1744198793.973662778	1217	1217	0	9032	9048	16
1744198798.833627543	1217	1297	80	9049	9260	211
1744198803.157182496	1297	1308	11	9264	9571	307
1744198807.301702519	1308	1322	14	9571	9753	182
1744198811.489065811	1322	1387	65	9756	9942	186
1744198816.153856850	1387	1493	106	9942	10389	447
1744198820.363213547	1492	1551	59	10391	10739	348
1744198824.805382384	1551	1632	81	10741	11241	500
1744198829.485914344	1632	1672	40	11244	11356	112
1744198834.490774185	1672	1693	21	11368	11440	72
1744198839.284838525	1692	1773	81	11442	11894	452
1744198843.948027272	1772	1870	98	11895	12665	770
1744198848.983720583	1870	1941	71	12667	13069	402
1744199281.347025411	0	0	0	0	0	0
1744199285.025024192	0	406	406	0	5737	5737
1744199288.160063172	941	966	25	11249	11439	190
1744199291.919044418	1006	1048	42	11598	11694	96
1744199295.828918095	1070	1115	45	11734	11825	91
1744199299.255032219	1151	1200	49	11951	11995	44
1744199302.741043418	1232	1242	10	12074	12198	124
1744199306.475042485	1248	1303	55	12361	12378	17
1744199309.976051616	1336	1369	33	12447	12542	95
1744199313.698030372	1396	1400	4	12715	12774	59
1744199317.225931069	1435	1432	-3	13024	13157	133
1744199320.412050667	1432	1447	15	13157	13228	71
1744199323.696062769	1466	1484	18	13311	13430	119
1744199327.701819396	1516	1526	10	13609	13693	84
1744199331.129031802	1541	1562	21	13770	13900	130
1744199334.184675068	1577	1596	19	14055	14135	80
1744199337.593039196	1609	1633	24	14190	14281	91
1744199340.853032069	1640	1666	26	14350	14402	52
1744199343.943059713	1671	1699	28	14432	14502	70
1744199347.287039843	1710	1723	13	14593	14620	27
1744199350.385029504	1729	1744	15	14651	14750	99
1744199353.815049849	1778	1794	16	14933	14989	56
1744199356.991026987	1794	1819	25	14989	15081	92
1744199360.127035363	1846	1861	15	15157	15239	82
1744199363.282025344	1872	1903	31	15351	15476	125
1744199366.444040136	1913	1935	22	15504	15542	38
1744199369.750035497	1933	1950	17	15572	15665	93
1744199373.445574518	1955	1968	13	15677	15708	31
1744199376.678054740	1978	1989	11	15720	15764	44
1744199379.888032462	1990	1996	6	15801	15809	8
1744199383.429024980	1996	2012	16	15809	15807	-2
1744199386.824054950	2014	2026	12	15825	15828	3
1744199390.407025128	2034	2045	11	15843	15852	9
1744199393.921037189	2053	2066	13	15891	15896	5
1744199397.154035893	2074	2079	5	15909	15924	15
1744199400.553120967	2095	2104	9	15925	15938	13
1744199403.776049000	2105	2115	10	15955	15969	14
1744199407.884057849	2119	2118	-1	15984	16006	22
1744199411.948035839	2126	2123	-3	16018	16038	20
1744199415.562027771	2122	2137	15	16083	16098	15
1744199419.041592092	2142	2157	15	16118	16123	5
