1744198565.679805873	0	0	0	0	0	0
1744198569.614845888	0	408	408	0	3012	3012
1744198573.095040858	882	883	1	6999	7035	36
1744198576.931468397	916	917	1	7537	7545	8
1744198580.551020967	1104	1106	2	8238	8244	6
1744198584.499376296	1218	1218	0	8707	8714	7
1744198588.322403556	1244	1244	0	9275	9279	4
1744198592.278342756	1244	1243	-1	9279	9298	19
1744198595.966564216	1348	1348	0	9836	9840	4
1744198600.102387097	1348	1348	0	9840	9844	4
1744198604.229386607	1511	1511	0	10627	10628	1
1744198607.757454557	1509	1510	1	10640	10640	0
1744198612.110074066	1525	1526	1	10682	10683	1
1744198616.467077697	1609	1610	1	10983	10989	6
1744198620.586419752	1679	1680	1	11574	11583	9
1744198766.486678253	0	0	0	0	0	0
1744198770.539208468	0	408	408	0	3025	3025
1744198774.288192351	997	1001	4	7959	7983	24
1744198777.918880552	1001	1001	0	7983	7993	10
1744198781.649333666	1114	1114	0	8451	8459	8
1744198785.579760803	1185	1186	1	8842	8846	4
1744198789.935937050	1218	1217	-1	9029	9032	3
1744198794.123622465	1217	1217	0	9048	9049	1
1744198799.008499136	1297	1297	0	9260	9264	4
1744198803.334852649	1308	1308	0	9571	9571	0
1744198807.448935211	1322	1322	0	9753	9756	3
1744198811.712409495	1387	1387	0	9942	9942	0
1744198816.304691278	1493	1492	-1	10389	10391	2
1744198820.550666327	1551	1551	0	10739	10741	2
1744198824.970022934	1632	1632	0	11241	11244	3
1744198829.690919291	1672	1672	0	11356	11368	12
1744198834.713044313	1693	1692	-1	11440	11442	2
1744198839.486820887	1773	1772	-1	11894	11895	1
1744198844.208380900	1870	1870	0	12665	12667	2
1744198849.255168228	1941	1941	0	13069	13076	7
1744199281.347025411	0	0	0	0	0	0
1744199285.025024192	406	941	535	5737	11249	5512
1744199288.160063172	966	1006	40	11439	11598	159
1744199291.919044418	1048	1070	22	11694	11734	40
1744199295.828918095	1115	1151	36	11825	11951	126
1744199299.255032219	1200	1232	32	11995	12074	79
1744199302.741043418	1242	1248	6	12198	12361	163
1744199306.475042485	1303	1336	33	12378	12447	69
1744199309.976051616	1369	1396	27	12542	12715	173
1744199313.698030372	1400	1420	20	12774	12862	88
1744199317.225931069	1420	1435	15	12862	13024	162
1744199320.412050667	1447	1466	19	13228	13311	83
1744199323.696062769	1484	1516	32	13430	13609	179
1744199327.701819396	1526	1541	15	13693	13770	77
1744199331.129031802	1562	1577	15	13900	14055	155
1744199334.184675068	1596	1609	13	14135	14190	55
1744199337.593039196	1633	1640	7	14281	14350	69
1744199340.853032069	1666	1671	5	14402	14432	30
1744199343.943059713	1699	1710	11	14502	14593	91
1744199347.287039843	1723	1729	6	14620	14651	31
1744199350.385029504	1744	1757	13	14750	14851	101
1744199353.815049849	1757	1778	21	14851	14933	82
1744199356.991026987	1819	1846	27	15081	15157	76
1744199360.127035363	1861	1872	11	15239	15351	112
1744199363.282025344	1903	1913	10	15476	15504	28
1744199366.444040136	1935	1933	-2	15542	15572	30
1744199369.750035497	1950	1955	5	15665	15677	12
1744199373.445574518	1968	1978	10	15708	15720	12
1744199376.678054740	1989	1983	-6	15764	15788	24
1744199379.888032462	1983	1990	7	15788	15801	13
1744199383.429024980	2012	2014	2	15807	15825	18
1744199386.824054950	2026	2034	8	15828	15843	15
1744199390.407025128	2045	2053	8	15852	15891	39
1744199393.921037189	2066	2074	8	15896	15909	13
1744199397.154035893	2079	2095	16	15924	15925	1
1744199400.553120967	2104	2105	1	15938	15955	17
1744199403.776049000	2115	2119	4	15969	15984	15
1744199407.884057849	2118	2126	8	16006	16018	12
1744199411.948035839	2123	2122	-1	16038	16083	45
1744199415.562027771	2137	2142	5	16098	16118	20
1744199419.041592092	2157	2167	10	16123	16142	19
1744199422.411081380	2179	2180	1	16157	16185	28
1744199425.685525250	2186	2192	6	16201	16235	34
1744199428.886049370	2207	2215	8	16265	16280	15
1744199432.169057612	2229	2236	7	16284	16291	7
1744199435.579023190	2244	2248	4	16303	16319	16
1744199439.511048409	2258	2261	3	16323	16348	25
1744199442.955045529	2272	2276	4	16385	16392	7
1744199446.662553510	2282	2284	2	16404	16412	8
1744199450.031043465	2286	2286	0	16425	16437	12
1744199453.218064386	2290	2291	1	16445	16455	10
1744199456.453035683	2297	2302	5	16464	16479	15
1744199460.049028239	2306	2308	2	16491	16504	13
1744199463.735033887	2309	2309	0	16512	16532	20
1744199467.232067233	2309	2309	0	16532	16540	8
1744199471.444043040	2314	2314	0	16548	16586	38
1744199474.995044461	2318	2319	1	16590	16601	11
1744199479.094026427	2319	2320	1	16601	16610	9
1744199482.682022045	2320	2320	0	16629	16667	38
1744199486.284999517	2324	2322	-2	16668	16681	13
1744199489.652026270	2318	2315	-3	16693	16728	35
1744199493.403027609	2307	2311	4	16743	16758	15
1744199496.869045176	2307	2310	3	16765	16773	8
1744199500.810038199	2307	2307	0	16784	16790	6
1744199504.596047203	2306	2309	3	16798	16802	4
1744199508.619031733	2315	2319	4	16800	16797	-3
1744199512.776051206	2319	2319	0	16799	16800	1
1744199517.070037874	2321	2324	3	16799	16799	0
1744199521.582038734	2326	2326	0	16798	16803	5
1744199525.087757993	2334	2334	0	16797	16812	15
1744199528.650036297	2327	2326	-1	16819	16821	2
1744199532.331044029	2303	2307	4	16844	16841	-3
1744199535.987041639	2330	2327	-3	16820	16831	11
1744199539.752044890	2347	2360	13	16811	16802	-9
1744199543.641039015	2354	2350	-4	16808	16812	4
1744199547.105061018	2339	2334	-5	16824	16829	5
